"filename", "language", "JSON", "TypeScript", "HTML", "PostCSS", "JavaScript", "comment", "blank", "total"
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\index.js", "JavaScript", 0, 0, 0, 0, 72, 1, 15, 88
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\instaladores.json", "JSON", 10, 0, 0, 0, 0, 0, 0, 10
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\memorias_tecnicas\memorias.json", "JSON", 261, 0, 0, 0, 0, 0, 0, 261
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\18_2026\proyecto.json", "JSON", 492, 0, 0, 0, 0, 0, 0, 492
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\2000_2026\proyecto.json", "JSON", 1741, 0, 0, 0, 0, 0, 0, 1741
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\22_2026\proyecto.json", "JSON", 524, 0, 0, 0, 0, 0, 1, 525
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\25_2026\proyecto.json", "JSON", 605, 0, 0, 0, 0, 0, 0, 605
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\26_2026\proyecto.json", "JSON", 512, 0, 0, 0, 0, 0, 0, 512
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\32_2026\proyecto.json", "JSON", 546, 0, 0, 0, 0, 0, 0, 546
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\talleres.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 11
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\Funciones\buildModificacionesParagraphs.ts", "TypeScript", 0, 1248, 0, 0, 0, 75, 314, 1637
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\Funciones\calculos.ts", "TypeScript", 0, 6805, 0, 0, 0, 27, 482, 7314
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\app.component.html", "HTML", 0, 0, 257, 0, 0, -1, 20, 276
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\app.component.ts", "TypeScript", 0, 54, 0, 0, 0, 0, 12, 66
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\app.routes.ts", "TypeScript", 0, 64, 0, 0, 0, 0, 1, 65
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\auth-proteccion-rutas.guard.spec.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 5, 18
