"filename", "language", "TypeScript", "JSON", "HTML", "PostCSS", "JavaScript", "comment", "blank", "total"
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\package-lock.json", "JSON", 0, 418, 0, 0, 0, 0, 0, 418
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\package.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 5
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\Funciones\buildModificacionesParagraphs.ts", "TypeScript", 224, 0, 0, 0, 0, 6, 62, 292
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\app.component.html", "HTML", 0, 0, 119, 0, 0, 4, 8, 131
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\app.component.ts", "TypeScript", 33, 0, 0, 0, 0, -3, 7, 37
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\app.routes.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 1, 45
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\auth-proteccion-rutas.guard.spec.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 5, 18
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\auth-proteccion-rutas.guard.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 3, 23
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\auth-seguridad-global.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 5, 17
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\auth-seguridad-global.service.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 6, 50
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\gestionar-arquitectos\gestionar-arquitectos.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\gestionar-arquitectos\gestionar-arquitectos.component.html", "HTML", 0, 0, 138, 0, 0, 8, 20, 166
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\gestionar-arquitectos\gestionar-arquitectos.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\gestionar-arquitectos\gestionar-arquitectos.component.ts", "TypeScript", 199, 0, 0, 0, 0, 0, 26, 225
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\interfaces\modificacion.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 14, 75
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pagesVivienda\funciones\documento.service.ts", "TypeScript", 5593, 0, 0, 0, 0, 259, 297, 6149
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pagesVivienda\gestor-documentacion\gestor-documentacion.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pagesVivienda\gestor-documentacion\gestor-documentacion.component.html", "HTML", 0, 0, 1771, 0, 0, 0, 74, 1845
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pagesVivienda\gestor-documentacion\gestor-documentacion.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pagesVivienda\gestor-documentacion\gestor-documentacion.component.ts", "TypeScript", 612, 0, 0, 0, 0, 0, 62, 674
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pagesVivienda\gestor-trello\gestor-trello.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 1, 1
