"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript", "HTML", "PostCSS", "SCSS", "comment", "blank", "total"
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\37_2025\proyecto.json", "JSON", 394, 0, 0, 0, 0, 0, 0, 0, 0, 394
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\38_2025\proyecto.json", "JSON", 394, 0, 0, 0, 0, 0, 0, 0, 0, 394
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\39_2025\proyecto.json", "JSON", 655, 0, 0, 0, 0, 0, 0, 0, 0, 655
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\3_2025\proyecto.json", "JSON", -296, 0, 0, 0, 0, 0, 0, 0, 0, -296
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\3_2026\proyecto.json", "JSON", -274, 0, 0, 0, 0, 0, 0, 0, 0, -274
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\40_2025\proyecto.json", "JSON", 383, 0, 0, 0, 0, 0, 0, 0, 0, 383
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\41_2025\proyecto.json", "JSON", 1077, 0, 0, 0, 0, 0, 0, 0, 0, 1077
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\42_2025\proyecto.json", "JSON", 425, 0, 0, 0, 0, 0, 0, 0, 0, 425
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\43_2025\proyecto.json", "JSON", 374, 0, 0, 0, 0, 0, 0, 0, 0, 374
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\9_2025\proyecto.json", "JSON", -508, 0, 0, 0, 0, 0, 0, 0, 0, -508
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\talleres.json", "JSON", -11, 0, 0, 0, 0, 0, 0, 0, -1, -12
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\angular.json", "JSON", 88, 0, 0, 0, 0, 0, 0, 0, 0, 88
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\package-lock.json", "JSON", 47, 0, 0, 0, 0, 0, 0, 0, 0, 47
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\package.json", "JSON", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\funciones\generarInformeProyecto.ts", "TypeScript", 0, 0, 956, 0, 0, 0, 0, 11, 51, 1018
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\interfaces\modificacion.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\crear-reforma\crear-reforma.component.html", "HTML", 0, 0, 0, 0, 5, 0, 0, 6, 5, 16
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\crear-reforma\crear-reforma.component.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\finalizar-reforma\finalizar-reforma.component.ts", "TypeScript", 0, 0, 46, 0, 0, 0, 0, 6, 14, 66
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\formulario-proyecto\formulario-proyecto.component.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
