"filename", "language", "JSON", "TypeScript", "HTML", "comment", "blank", "total"
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pagesVivienda\memoria-tecnica-diseno\memoria-tecnica-diseno.component.ts", "TypeScript", 0, 77, 0, 46, 10, 133
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pagesVivienda\memorias-lista\memorias-lista.component.ts", "TypeScript", 0, -229, 0, 0, 6, -223
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\canva\canva.component.ts", "TypeScript", 0, 151, 0, 1, 23, 175
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\cocheono\cocheono.component.html", "HTML", 0, 0, 14, -7, 0, 7
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\cocheono\cocheono.component.ts", "TypeScript", 0, -1, 0, -11, -1, -13
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\formulario-proyecto\formulario-proyecto.component.html", "HTML", 0, 0, 42, 0, 1, 43
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\formulario-proyecto\formulario-proyecto.component.ts", "TypeScript", 0, 85, 0, -7, 8, 86
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\resumen-modificaciones\resumen-modificaciones.component.html", "HTML", 0, 0, 1390, 0, 39, 1429
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\resumen-modificaciones\resumen-modificaciones.component.ts", "TypeScript", 0, 632, 0, 0, 103, 735
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\tipo-vehiculo\tipo-vehiculo.component.html", "HTML", 0, 0, 53, 0, 1, 54
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\tipo-vehiculo\tipo-vehiculo.component.ts", "TypeScript", 0, 46, 0, 0, 8, 54
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\assets\MAPEO_CAMPOS_MTDAC.json", "JSON", 2248, 0, 0, 0, 0, 2248
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\Funciones\buildModificacionesParagraphs.ts", "TypeScript", 0, 472, 0, -3, 58, 527
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\Funciones\calculos.ts", "TypeScript", 0, 761, 0, -5, 32, 788
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\Funciones\coche-options.ts", "TypeScript", 0, 14, 0, 0, 3, 17
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\app.routes.ts", "TypeScript", 0, 8, 0, 0, 0, 8
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\generador-documentos\generador-documentos.component.ts", "TypeScript", 0, 15, 0, -1, 1, 15
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\generadores\certificado-final-obra.ts", "TypeScript", 0, 126, 0, -3, 7, 130
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\generadores\proyecto-word.ts", "TypeScript", 0, 29, 0, -15, 14, 28
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\interfaces\ReformaItem.ts", "TypeScript", 0, 4, 0, 0, 1, 5
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\interfaces\modificacion.ts", "TypeScript", 0, 101, 0, 0, 5, 106
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pagesVivienda\memoria-tecnica-autoconsumo\memoria-tecnica-autoconsumo.component.html", "HTML", 0, 0, 982, 0, 61, 1043
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pagesVivienda\memoria-tecnica-autoconsumo\memoria-tecnica-autoconsumo.component.ts", "TypeScript", 0, 1826, 0, 534, 62, 2422
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pagesVivienda\memoria-tecnica-diseno\memoria-tecnica-diseno.component.html", "HTML", 0, 0, 109, 0, 0, 109
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pagesVivienda\memoria-tecnica-diseno\memoria-tecnica-diseno.component.ts", "TypeScript", 0, 77, 0, 46, 10, 133
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pagesVivienda\memorias-lista\memorias-lista.component.ts", "TypeScript", 0, 73, 0, 0, 28, 101
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\canva\canva.component.ts", "TypeScript", 0, 151, 0, 1, 23, 175
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\cocheono\cocheono.component.html", "HTML", 0, 0, 14, -7, 0, 7
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\cocheono\cocheono.component.ts", "TypeScript", 0, -1, 0, -11, -1, -13
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\editar-reforma\editar-reforma.component.html", "HTML", 0, 0, 74, 0, 5, 79
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\editar-reforma\editar-reforma.component.ts", "TypeScript", 0, 70, 0, 5, 10, 85
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\formulario-proyecto\formulario-proyecto.component.html", "HTML", 0, 0, 42, 0, 1, 43
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\formulario-proyecto\formulario-proyecto.component.ts", "TypeScript", 0, 85, 0, -7, 8, 86
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\mostrar-secciones\mostrar-secciones.component.ts", "TypeScript", 0, 20, 0, 2, 4, 26
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\resumen-modificaciones\resumen-modificaciones.component.html", "HTML", 0, 0, 1677, 0, 49, 1726
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\resumen-modificaciones\resumen-modificaciones.component.ts", "TypeScript", 0, 680, 0, 154, 105, 939
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\tipo-vehiculo\tipo-vehiculo.component.html", "HTML", 0, 0, 53, 0, 1, 54
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\tipo-vehiculo\tipo-vehiculo.component.ts", "TypeScript", 0, 48, 0, 0, 8, 56
"Total", "-", 12847, 8822, 4640, 712, 912, 27933
