"filename", "language", "JSON", "TypeScript", "HTML", "comment", "blank", "total"
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\memorias_tecnicas\memorias.json", "JSON", 406, 0, 0, 0, 0, 406
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\2001_2026\proyecto.json", "JSON", 500, 0, 0, 0, 0, 500
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\2002_2026\proyecto.json", "JSON", 636, 0, 0, 0, 0, 636
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\2003_2026\proyecto.json", "JSON", 532, 0, 0, 0, 0, 532
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\2004_2026\proyecto.json", "JSON", 568, 0, 0, 0, 0, 568
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\2005_2026\proyecto.json", "JSON", 557, 0, 0, 0, 0, 557
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\2006_2026\proyecto.json", "JSON", 519, 0, 0, 0, 1, 520
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\2007_2026\proyecto.json", "JSON", 481, 0, 0, 0, 0, 481
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\2008_2026\proyecto.json", "JSON", 552, 0, 0, 0, 0, 552
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\23_2026\proyecto.json", "JSON", 694, 0, 0, 0, 0, 694
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\27_2026\proyecto.json", "JSON", 1258, 0, 0, 0, 0, 1258
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\31_2026\proyecto.json", "JSON", 536, 0, 0, 0, 0, 536
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\33_2026\proyecto.json", "JSON", 515, 0, 0, 0, 0, 515
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\34_2026\proyecto.json", "JSON", 494, 0, 0, 0, 0, 494
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\35_2026\proyecto.json", "JSON", 526, 0, 0, 0, 0, 526
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\36_2026\proyecto.json", "JSON", 494, 0, 0, 0, 0, 494
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\38_2026\proyecto.json", "JSON", 552, 0, 0, 0, 0, 552
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\42_2026\proyecto.json", "JSON", 635, 0, 0, 0, 0, 635
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\talleres.json", "JSON", 11, 0, 0, 0, 0, 11
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\viviendas\viviendas.json", "JSON", 133, 0, 0, 0, 0, 133
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\funciones\generarInformeProyecto.ts", "TypeScript", 0, 84, 0, 0, 2, 86
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\resumen-modificaciones\resumen-modificaciones.component.html", "HTML", 0, 0, 72, 0, 3, 75
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\resumen-modificaciones\resumen-modificaciones.component.ts", "TypeScript", 0, 59, 0, 0, 8, 67
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\Funciones\buildModificacionesParagraphs.ts", "TypeScript", 0, 471, 0, -3, 60, 528
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\Funciones\calculos.ts", "TypeScript", 0, 747, 0, -6, 28, 769
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\Funciones\coche-options.ts", "TypeScript", 0, 14, 0, 0, 3, 17
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\generadores\certificado-final-obra.ts", "TypeScript", 0, 126, 0, -3, 7, 130
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\generadores\proyecto-word.ts", "TypeScript", 0, 74, 0, 2, 23, 99
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\interfaces\modificacion.ts", "TypeScript", 0, 88, 0, 0, 5, 93
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pagesVivienda\memoria-tecnica-autoconsumo\memoria-tecnica-autoconsumo.component.html", "HTML", 0, 0, 9, 0, 1, 10
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pagesVivienda\memoria-tecnica-autoconsumo\memoria-tecnica-autoconsumo.component.ts", "TypeScript", 0, 1839, 0, 10, 78, 1927
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pagesVivienda\memoria-tecnica-diseno\memoria-tecnica-diseno.component.html", "HTML", 0, 0, 109, 0, 0, 109
